"site","habitat_type","species","replicate","height_cm","leaf_area_cm2","biomass_g","chlorophyll_content","soil_moisture","soil_ph","temperature_C","light_intensity","nitrogen_ppm","phosphorus_ppm","potassium_ppm","growth_rate_cm_week"
"C","wetland","species3","3",30.29,14.23,1.44,48.09,0.621,6.13,19.4,408.5,28.69,18.78,28.2,0
"D","wetland","species3","3",41.65,25.74,9.77,39.45,0.771,6.39,20.46,513,37.32,21.73,36.65,1.164
"A","forest","species1","4",63.56,44.74,6.02,45.41,0.709,5.84,21.46,277.3,52.78,25.81,37.04,2.999
"B","forest","species1","4",56.54,32.07,4.3,44.31,0.584,6.37,21.99,233,51.13,31.82,34.63,4.303
"C","forest","species1","4",60.05,27.97,9.23,44.1,0.486,5.71,20.57,138.5,40.95,16.24,37.04,2.137
"D","forest","species1","4",65.44,60.03,14.87,48.22,0.542,6.62,18.91,190.6,35.26,20.17,32.95,3.448
"A","grassland","species1","4",61.36,53.15,10.83,41,0.468,6.4,23.9,654.4,32.62,20.89,23.16,6.285
"B","grassland","species1","4",47.17,29.42,16.23,40.55,0.349,5.92,19.87,345.6,32.56,16.97,30.78,1.897
"C","grassland","species1","4",44.8,45.42,19.93,46.04,0.479,5.34,19.67,600.6,32.9,14.83,31.92,3.958
"D","grassland","species1","4",55.74,62.7,16.77,39.37,0.481,6.03,19.52,634.2,38.69,18.15,32.06,5.573
"A","wetland","species1","4",54.48,18.08,18.21,39.11,0.904,6.35,23.87,325.3,45.38,23.49,22.79,3.999
"B","wetland","species1","4",52.3,53.34,15.67,35.96,0.806,6.11,20.25,464.8,34.9,18.33,37.87,2.165
"C","wetland","species1","4",47.49,50.27,15.64,35.39,0.694,6,20.44,372.5,35.49,18.88,42.02,4.342
"D","wetland","species1","4",44.17,36.86,21.66,39.54,0.834,6.14,20.79,394.9,21.72,18.77,35.57,3.567
"A","forest","species2","4",69.27,50.18,12.23,49.56,0.682,6.62,22.18,297.5,42.9,20.27,29.44,5.724
"B","forest","species2","4",69.03,44.21,9.65,47.82,0.595,6.48,21.66,265.1,52.36,24.13,39.61,6.038
"C","forest","species2","4",49.56,30.85,23.76,49.02,0.51,5.71,17.29,256.5,36.16,24.07,31.17,3.225
"D","forest","species2","4",68.1,48.11,12.52,49.45,0.7,6.3,19.55,241.5,30.81,15.25,36.16,6.558
"A","grassland","species2","4",66.17,31.87,8.39,46.45,0.471,6.46,22.72,593,42.08,16.65,34.27,5.828
"B","grassland","species2","4",70.98,50.32,10.88,45.04,0.38,5.72,20.77,625.1,38.65,18.71,33.49,3.541
"C","grassland","species2","4",36.35,38.95,11.22,45.37,0.356,5.83,18.56,576.3,29.3,15.47,30.18,4.49
"D","grassland","species2","4",53.8,35.49,9.03,50.51,0.453,6.02,20.51,625.8,23.56,11.89,29.34,4.442
"A","wetland","species2","4",65.37,67.95,12.69,36.71,0.903,6.78,22.92,396,47.25,14.54,34,0.573
"B","wetland","species2","4",60.37,47.8,11.86,40.92,0.706,5.96,21.08,383.7,38.39,12.5,36.07,3.47
"C","wetland","species2","4",51.2,42.07,15.65,41.69,0.678,5.92,19,410.3,35.15,22.64,31.13,5.136
"D","wetland","species2","4",47.86,43.04,9.97,37.87,0.843,6.28,19.79,538,29.47,16.1,36.71,4.746
"A","forest","species3","4",77.2,52.37,22.18,62.79,0.68,6.74,20.93,240.7,52.63,26.94,34.15,3.41
"B","forest","species3","4",47.21,30.03,10.53,53.42,0.556,6.61,21.58,166.6,42.78,23.76,36.47,5.425
"C","forest","species3","4",45.43,32.11,15.44,58.09,0.568,4.85,17.82,81.2,37.99,24.61,26.66,2.623
"D","forest","species3","4",58.78,64.76,17.08,53.4,0.535,6.01,19.78,258.9,36,18.9,37.51,5.637
"A","grassland","species3","4",69.13,59.57,18.24,47.69,0.427,6.27,23.17,722,35.84,18.89,40.57,3.966
"B","grassland","species3","4",50.53,39.48,14.52,47,0.451,5.57,20.26,547.6,31.91,20.54,30.83,1.849
"C","grassland","species3","4",46.65,26.16,0.79,46.84,0.356,6.15,18.98,640.3,42.02,21.4,32.25,0.831
"D","grassland","species3","4",59.64,46.84,12.68,42,0.458,6.33,19.54,568,26.36,14.08,32.44,2.568
"A","wetland","species3","4",59.92,51.86,11.36,49.36,0.801,5.85,24.02,374.1,45.49,23.57,30.91,8.097
"B","wetland","species3","4",38.88,27.49,0.5,45.72,0.807,5.67,21.85,396.4,39.05,21.68,42.69,6.092
"C","wetland","species3","4",43.55,25.96,10.11,47.55,0.673,5.83,15.8,386.3,32.25,15.36,33.47,2.124
"D","wetland","species3","4",47.45,28.5,13.24,46.11,0.821,5.65,20.45,563.7,30.07,10.43,32.78,3.781
"A","forest","species1","5",76.91,59.33,20.56,45.62,0.599,6.47,24.19,368.1,46.22,24.3,31.99,4.737
"B","forest","species1","5",56.78,48.85,9.02,42.27,0.512,5.46,22.68,172.3,49.85,23.69,33.38,3.876
"C","forest","species1","5",45.36,45.99,11.43,44.33,0.506,5.61,18.29,204.1,40.61,16.62,27.91,2.45
"D","forest","species1","5",63.46,37.41,16.17,46.44,0.718,6.69,18.01,275.9,32.44,12.35,35.22,5.638
"A","grassland","species1","5",61.77,41.41,22.9,41.34,0.425,7.3,23.8,638.4,46.1,22.67,30.78,3.569
"B","grassland","species1","5",49.91,19.46,5.18,39.84,0.376,6.27,21.52,604.2,38.59,20.61,26.3,3.275
"C","grassland","species1","5",39.72,32.87,11.73,35.1,0.323,6.16,20.33,501.7,28.89,12.37,30.89,2.462
"D","grassland","species1","5",48.81,46.21,8.79,41.83,0.385,6.79,19.82,567.8,26.83,10.46,26.23,2.668
"A","wetland","species1","5",56.94,48.09,13.76,38.92,0.811,6.47,23.6,384.4,47.76,23.82,33.47,5.612
"B","wetland","species1","5",52.19,54.04,5.67,42.11,0.802,5.67,22.63,424.5,41.52,21.2,36.36,2.955
"C","wetland","species1","5",40.18,37.98,3.99,31.96,0.742,5.68,20.64,411.3,33.66,21.7,32.91,5.684
"D","wetland","species1","5",45.64,30.64,1.99,37.92,0.855,5.88,18.03,520.8,13.32,5.84,29.7,3.091
"A","forest","species2","5",59.48,62.05,12.72,49.64,0.684,5.89,23.71,352.6,52.13,23.01,37.89,4.869
"B","forest","species2","5",65.47,56.81,15.75,53.73,0.622,5.3,20.62,221.1,55.03,29.37,37.02,4.476
"C","forest","species2","5",60.14,53.89,12.06,50.54,0.543,5.85,19.29,219.6,33.83,15.68,35.54,2.075
"D","forest","species2","5",72.55,48.82,12.3,46.3,0.632,5.96,19.42,254.8,36.23,15.42,48.4,4.188
"A","grassland","species2","5",72.33,55.37,19.55,42.91,0.506,6.38,23.25,684.7,37.78,18.32,28.86,5.315
"B","grassland","species2","5",54.28,31.21,16.47,46.68,0.395,5.49,21.48,632.8,31.41,17.48,37.23,2.272
"C","grassland","species2","5",56.49,44.47,11.03,42.38,0.352,6.07,18.42,517.5,34.78,18.48,27.4,3.529
"D","grassland","species2","5",58.01,60.05,19.86,38.21,0.33,6.21,21.04,432.7,15.5,4.27,26.69,5.474
"A","wetland","species2","5",58.62,42.32,6.46,47.58,0.797,6.09,24.38,593,47.2,24.78,34.34,3.49
"B","wetland","species2","5",47.76,38.86,13.8,43.03,0.819,5.97,20.83,528,38.1,16.01,27.74,4.168
"C","wetland","species2","5",45.27,44.05,13.6,44.36,0.675,5.69,18.7,440,46.88,26.08,33.11,1.904
"D","wetland","species2","5",56.14,29.03,8.13,39.68,0.817,6.21,21.39,461.1,32.1,17.18,28.77,3.255
"A","forest","species3","5",65.86,39,17.7,54.02,0.632,5.83,23.22,319.1,55.34,32.12,34.09,3.435
"B","forest","species3","5",57,36.33,15.98,48.67,0.642,6.19,21.15,97.9,37.84,19.18,39.66,2.483
"C","forest","species3","5",51.99,44.6,17.16,59.99,0.572,5.4,18.31,85,45.69,24.07,46.92,3.886
"D","forest","species3","5",62.57,50.86,15.85,57.25,0.593,6.46,19.86,72.1,28.14,16.97,33.93,4.899
"A","grassland","species3","5",56.63,57.77,8.04,47.11,0.497,6.79,25.21,576.2,43.37,21.68,29.49,3.869
"B","grassland","species3","5",56.18,32.6,9.64,50.74,0.415,5.85,21.91,671.2,34.7,22.06,22.11,2.894
"C","grassland","species3","5",45.19,31.76,7.14,51.73,0.353,6.15,17.88,413.9,32.39,17.29,31.89,2.152
"D","grassland","species3","5",45.03,15.01,14.61,47.03,0.479,6.11,19.02,746.6,16.22,5.27,29,5.064
"A","wetland","species3","5",53.62,59.08,8.71,44.11,0.865,5.47,21.4,523.6,46.55,20.1,33.66,5.513
"B","wetland","species3","5",47.58,48.91,4.38,48.83,0.857,6.11,20.67,340.6,42.71,25.77,28.4,5.193
"C","wetland","species3","5",37.94,23.95,10.38,48.33,0.742,5.43,18.78,339.1,34.14,21.86,32.7,2.577
"D","wetland","species3","5",49.72,37.25,15.03,49.42,0.852,5.67,20.76,292.8,32.37,20.85,36.57,6.328
"A","forest","species1","1",70.17,54.79,26.51,44.25,0.696,6.84,24.16,389.8,56.05,28.39,36.53,5.921
"B","forest","species1","1",64.52,69.57,18.51,43.57,0.567,5.92,21.41,231.2,47.27,21.73,27.38,4.031
"C","forest","species1","1",49.74,40.18,10.68,47.98,0.535,6.5,19.13,194.2,41.48,17.99,31.31,2.475
"D","forest","species1","1",60.92,52.86,14.35,46.45,0.547,5.9,18.64,232.1,29.02,16.53,40.23,6.601
"A","grassland","species1","1",57.16,52.72,8,41.63,0.445,6.22,22.94,701.8,37.56,16.07,32.58,3.937
"B","grassland","species1","1",44.36,42.39,20.44,33.39,0.364,5.98,20.15,638.9,37.93,19.36,28.27,3.083
"C","grassland","species1","1",35.76,11.89,3.44,34.51,0.335,5.61,18.53,608.2,30.12,18.3,29.25,2.524
"D","grassland","species1","1",53.98,50.58,12.41,38.59,0.39,5.88,20.72,773.5,25.24,10.78,24.38,3.326
"A","wetland","species1","1",60.01,38.77,17.16,36.44,0.831,6.47,23.78,492.7,55.87,30.59,34.95,4.088
"B","wetland","species1","1",50.2,39.84,3.08,39.71,0.774,5.58,22.86,274.8,45.08,26.14,30.68,2.639
"C","wetland","species1","1",35.05,8.76,11.98,37.61,0.719,6.2,19.95,424.6,36.01,24.97,36.28,2.235
"D","wetland","species1","1",44.35,37.62,10.93,35,0.798,5.31,19.74,378.2,30.54,13.65,36.54,2.362
"A","forest","species2","1",67.29,43.78,14.43,46.94,0.718,5.8,24.07,131,54.87,23.69,38.12,4.524
"B","forest","species2","1",59.56,25.86,15.52,57.09,0.553,5.63,21.81,343.6,42.61,16.08,35.24,4.693
"C","forest","species2","1",58.85,30.36,10.66,52.72,0.595,5.7,18.61,170.4,42.35,20.2,40.89,4.588
"D","forest","species2","1",68.97,40.97,4.32,51.4,0.58,6.22,20.6,343.4,33.12,13.79,33.67,4.8
"A","grassland","species2","1",60.92,54.25,16.89,47.99,0.465,5.61,23.55,736.4,36.4,18.53,30.62,6.589
"B","grassland","species2","1",40.68,35.65,6.23,44.58,0.354,5.92,19.29,525.2,29.85,13.69,34.67,1.012
"C","grassland","species2","1",54.77,50.67,19.64,41.77,0.296,5.62,18.36,615,35.2,18.82,35.32,6.655
"D","grassland","species2","1",61.08,43.54,9.29,42.86,0.442,6.62,19.8,550.4,31.56,19.11,30.87,3.049
"A","wetland","species2","1",58.5,48.61,16.34,38.81,0.84,6.73,21.65,467.2,50.19,27.26,35.61,4.876
"B","wetland","species2","1",46.63,41.42,12.77,49.78,0.725,6.14,19.66,382.1,38.9,18.7,37.16,4.305
"C","wetland","species2","1",45.5,35.55,9.45,38.51,0.786,5.43,19.93,329.1,35.12,22.41,33.95,3.572
"D","wetland","species2","1",55.54,33.37,6.45,39.81,0.791,5.71,17.22,532,33.18,10.81,34.98,6.945
"A","forest","species3","1",69.62,66.98,16.73,56.35,0.657,6.05,23.4,279.9,52.94,30.88,33.41,3.63
"B","forest","species3","1",62.95,67.04,7.41,54.13,0.618,6.41,21.85,50,39.44,18.51,37.56,4.737
"C","forest","species3","1",46.76,57.6,6.17,49.92,0.489,6.3,19.26,215.4,45.89,26.2,38.36,2.128
"D","forest","species3","1",60.45,57.29,9.79,55.73,0.586,6.16,19.71,292.3,35.98,16.15,36.37,6.992
"A","grassland","species3","1",64.67,49.86,20.75,46.92,0.528,5.85,23.69,616.2,50.21,27.65,31.53,3.882
"B","grassland","species3","1",43.49,33.52,1.14,46.1,0.431,6.18,21.81,635.2,36.37,17.84,27.95,3.804
"C","grassland","species3","1",41.89,30.46,4.51,46.66,0.278,5.55,20.11,507.8,37.19,16.29,28.17,3.863
"D","grassland","species3","1",42.14,31.09,2.07,53.7,0.404,6.06,18.62,717.9,26.3,15.61,23.08,5.9
"A","wetland","species3","1",56.44,44.64,14.39,46.53,0.793,6.05,21.86,341.6,46.2,25.87,42.57,3.843
"B","wetland","species3","1",41.79,13.71,11.3,48.57,0.852,6,21.01,362.7,40.45,20.54,31.42,2.737
"C","wetland","species3","1",35.38,28.41,16,45.32,0.75,5.92,19.64,269.1,46.33,18,30.14,5.903
"D","wetland","species3","1",44.1,37.63,5.63,46.77,0.805,6.06,20.07,427.6,30.3,18.47,30.53,3.775
"A","forest","species1","2",70.22,46.67,24.24,44.43,0.701,6.15,22.76,245.8,54.28,24.97,33.2,3.909
"B","forest","species1","2",47.19,20.18,12.62,50.65,0.656,5.95,20.5,395.8,38.01,20.44,39.8,2.315
"C","forest","species1","2",50.87,37.1,12.1,54.03,0.435,5.29,18.21,50,42.52,22.15,35.79,4.914
"D","forest","species1","2",55.93,13.53,16.22,46.85,0.653,5.85,20.98,219.3,28.47,16.53,32.86,0
"A","grassland","species1","2",55.19,60.88,7.16,36.6,0.43,6.09,25.27,585.1,44.61,21.69,35.02,1.173
"B","grassland","species1","2",52.37,48.8,10.31,38.75,0.435,6.06,20.7,522.7,33.15,19.83,29.18,2.275
"C","grassland","species1","2",46.76,27.64,6.68,39.96,0.308,5.11,19.8,657,31.07,18.78,32.43,2.669
"D","grassland","species1","2",52.46,42.12,22.19,40.94,0.451,5.67,21.06,577.8,24.79,10.05,33.87,4.254
"A","wetland","species1","2",59.69,46.1,9.22,34.2,0.807,6.32,22.96,345,45.02,14.99,31.43,5.905
"B","wetland","species1","2",43.99,18.59,9.74,38.38,0.816,5.84,21.81,446.8,40.85,22.28,31.76,3.805
"C","wetland","species1","2",31.88,16.72,8.93,38.69,0.688,5.99,18.46,342,33.46,12.85,29.58,2.837
"D","wetland","species1","2",55.77,54.28,1.04,36.04,0.824,5.94,20.64,388.3,32.39,17.04,38.67,3.766
"A","forest","species2","2",71.85,45.92,19.56,51.25,0.754,6.27,22.67,258.6,38.5,23.38,30.73,5.512
"B","forest","species2","2",61.17,41.43,4.05,44.45,0.661,6.05,19.32,205.1,32.17,16.28,37.47,6.155
"C","forest","species2","2",58.79,39.58,15.04,50.25,0.594,5.39,17.82,162,48.03,22.45,38.49,5.858
"D","forest","species2","2",69.83,68.13,6.98,52.1,0.568,5.91,19.45,226.9,27.93,13.78,35.26,4.287
"A","grassland","species2","2",67.13,51.8,11.82,43.56,0.516,6.2,24.39,583.4,36.75,13.13,31.41,4.13
"B","grassland","species2","2",59.64,53.25,13.67,43.06,0.443,5.53,22.44,627.7,24.4,15.06,28.78,3.603
"C","grassland","species2","2",50.23,47.9,7.37,44.25,0.323,5.74,19.21,652.2,40.39,18.1,29.88,3.468
"D","grassland","species2","2",55.48,40.58,6.06,50.37,0.403,5.96,20.49,626.1,22.48,10.76,31.94,1.888
"A","wetland","species2","2",60.5,37.11,22.84,40.92,0.82,6.39,22.07,469.6,48.16,25.2,30.69,5.683
"B","wetland","species2","2",56.11,46.59,13.4,41.66,0.841,5.78,18.92,404.8,39.03,16.63,31.53,2.848
"C","wetland","species2","2",42.75,30.62,18.97,38.02,0.707,5.65,18.85,395.6,35.75,13.11,33.87,3.592
"D","wetland","species2","2",50.23,54.61,7.48,44.95,0.803,6.01,19.97,406.7,32.32,18.38,31.72,5.914
"A","forest","species3","2",67.57,48.85,12.8,53.56,0.594,6.31,22.82,149.3,47.71,21.51,36.46,5.505
"B","forest","species3","2",59.06,44.14,22.8,59.61,0.636,5.92,20.02,262.3,40.52,21.47,28.33,5.999
"C","forest","species3","2",42.54,40.86,9.23,51.5,0.475,5.38,17.65,182.3,42.14,17.29,35.37,4.537
"D","forest","species3","2",62.92,43.7,13.89,56.46,0.559,6.11,19.64,311.8,39.53,24.01,36.94,1.543
"A","grassland","species3","2",58.06,46.27,18.82,45.17,0.373,6.18,24.19,707.9,32.2,13.2,29.71,1.787
"B","grassland","species3","2",47.09,42.64,6.88,54.22,0.368,6.06,22.75,508,33.84,16.31,23.2,4.736
"C","grassland","species3","2",48.53,34.79,3.79,50.9,0.364,5.59,18.22,633.8,34.22,14.89,23.96,4.579
"D","grassland","species3","2",58.4,34.6,14.7,53.15,0.352,6.26,20.68,550.1,21.62,6.59,30.89,2.99
"A","wetland","species3","2",49.26,42.54,8.34,48.88,0.924,7.07,24.25,424.5,43.03,23.69,29.99,8.602
"B","wetland","species3","2",50.06,37.25,10.08,52.56,0.81,5.97,19.96,542.5,29.29,11.89,31.02,4.657
"C","wetland","species3","2",36.84,9.27,10.2,52.83,0.728,6.31,19.06,350.5,39.05,23.6,36.91,0.455
"D","wetland","species3","2",48.66,41.63,2.55,43.41,0.823,6.05,20.21,264.3,38.2,19.94,34.14,6.505
"A","forest","species1","3",70.4,57.64,8.15,46.98,0.671,6.17,23.57,188.5,49.9,26.36,41.58,4.889
"B","forest","species1","3",58.67,30.14,18.82,42.67,0.609,5.35,22.37,173,47.53,18.82,37.68,4.686
"C","forest","species1","3",45.69,31.29,9.8,44.37,0.563,5.3,17.54,92.1,53.66,28.38,48.07,2.376
"D","forest","species1","3",58.47,45.02,18.02,41.05,0.62,6.79,20.84,345.6,39.95,20.02,32.08,4.05
"A","grassland","species1","3",67.7,48.59,14.52,40.14,0.469,7.22,23.39,677.6,36.4,19.85,33.61,1.451
"B","grassland","species1","3",50.86,46.21,13.73,35.84,0.394,5.84,20.49,594.7,28.21,13.06,31.2,4.2
"C","grassland","species1","3",40.82,16.9,10.81,37.92,0.338,5.67,19.19,458.4,28.83,11.15,30.78,3.754
"D","grassland","species1","3",49.72,30.23,6.7,39.97,0.345,5.58,22.51,556.9,18.88,7.16,31.75,3.018
"A","wetland","species1","3",62.29,45.33,20.02,34.81,0.911,6.64,23.04,482.5,53.34,25.89,35.91,3.8
"B","wetland","species1","3",48.73,53.42,14.78,37.02,0.77,6.03,19.99,336.4,42.02,28.74,30.29,0.92
"C","wetland","species1","3",37.51,28.46,8.61,39.99,0.792,5.65,17.69,347.3,40.61,21.79,36.64,4.054
"D","wetland","species1","3",50.03,29.81,10.7,35.58,0.79,5.57,18.49,472.9,30.17,19.98,30.71,4.979
"A","forest","species2","3",75.98,76.17,29.06,51.17,0.713,6.69,22.24,312.6,52.47,24.19,38.03,4.771
"B","forest","species2","3",71.61,54.98,8.06,49.13,0.555,6.06,24.62,192.3,42.77,20.72,36.48,3.357
"C","forest","species2","3",53.59,48.39,6.71,50.76,0.525,5.99,18.68,82.2,38.56,22,36.19,0.992
"D","forest","species2","3",64.1,62.5,22.85,50.76,0.616,6.11,21.61,341.9,34.54,21,31.56,6.24
"A","grassland","species2","3",69.98,60.08,15.02,47.03,0.452,6.75,21.65,699.3,32.86,15.08,30.52,4.907
"B","grassland","species2","3",52.7,55.17,2.8,45.85,0.435,5.95,22.44,604.5,34.49,16.98,26.81,5.936
"C","grassland","species2","3",57.3,37.93,10.72,40.14,0.43,5.98,18.33,598.6,34.27,23.13,27.76,5.48
"D","grassland","species2","3",63.22,66.56,17.29,41.02,0.462,6.25,18.9,492.6,19.83,7.42,33.55,9.508
"A","wetland","species2","3",53.7,24.73,17.54,45.59,0.845,6.09,22.21,492.4,40.53,22.13,31.5,5.168
"B","wetland","species2","3",54.12,33.54,14.32,39.76,0.796,5.77,20.77,332.1,44.89,23.59,29.83,6.387
"C","wetland","species2","3",39.9,26.06,5.32,42.81,0.659,5.05,17.99,332.4,36.36,15.53,31.36,4.922
"D","wetland","species2","3",47.68,40.47,2.51,41.69,0.846,6.63,20.9,402.6,36.97,20.95,30.36,5.024
"A","forest","species3","3",66.35,48.35,23.05,55.42,0.683,5.86,23.72,258.7,46.39,18.35,27.78,4.919
"B","forest","species3","3",56.28,50.86,12.22,60.83,0.677,5.56,22.82,237.1,45.91,23.24,37.97,1.283
"C","forest","species3","3",50.84,44.87,8.02,50.85,0.52,5.68,19.32,164,38.34,20.52,31.6,4.285
"D","forest","species3","3",65.32,59.05,12.03,58.94,0.557,5.88,20.11,97.3,40.4,24,32.49,1.987
"A","grassland","species3","3",59.47,62.4,17.75,51.19,0.453,6.66,23.3,693.9,53.39,26.6,33.68,5.221
"B","grassland","species3","3",44.63,21.45,2.35,50.51,0.359,6.03,20.96,628.9,36.42,20.85,34.48,1.771
"C","grassland","species3","3",43.6,44.58,7.5,47.87,0.29,6.06,20.1,652.5,20.87,5.08,34.13,0.589
"D","grassland","species3","3",48.43,36.09,16.68,52.81,0.379,5.86,20.55,615.7,25.61,8.8,33.38,3.683
"A","wetland","species3","3",54.66,35.7,14.75,48.29,0.844,5.65,24.07,468.7,43.59,23.15,33.25,3.422
"B","wetland","species3","3",39.26,13.64,10.46,47.56,0.821,6.38,22.26,464.8,42.24,20.63,33.1,4.545
"C","wetland","species3","3",39.42,23.05,9.21,43.92,0.776,5.44,19.19,283.9,35.23,19.93,31.31,1.511
"D","wetland","species3","3",48.51,35.82,6.84,49.76,0.862,6.55,23.35,283.9,33.77,14.07,26.84,2.677
"A","forest","species1","4",64.49,32.19,13.9,43.99,0.644,6.42,23.19,328.3,53.84,23.82,37.98,2.312
"B","forest","species1","4",58.21,42.96,8.63,43.87,0.54,5.47,20.17,129.8,50,26.09,29.98,1.578
"C","forest","species1","4",49.76,44.91,14.79,48.47,0.565,5.82,18.37,291.9,45.02,25.92,35.47,4.777
"D","forest","species1","4",57.78,33.24,14.75,46.98,0.633,5.91,19.08,308.2,39.51,21.65,30.99,8.463
"A","grassland","species1","4",58.98,47.13,10.69,38.27,0.426,6.1,22.13,577.7,42.95,19.55,31.99,2.913
"B","grassland","species1","4",52.45,28.51,17.17,41.65,0.389,5.57,21.65,685.6,35.94,14.01,30.87,1.861
"C","grassland","species1","4",43.97,34.66,16.76,37.42,0.341,5.73,20.1,607.8,31.3,17.37,24.19,3.511
"D","grassland","species1","4",53.95,52.11,16.88,42.3,0.436,6.48,18.2,725.3,21.05,7.37,35.74,3.656
"A","wetland","species1","4",61.85,27.68,18.68,34.58,0.787,6.26,22.73,427.8,56.35,29.98,42.56,4.869
"B","wetland","species1","4",45.57,59.52,7.23,31.56,0.806,5.64,20.37,506.8,42.56,23.35,32.38,4.555
"C","wetland","species1","4",41.48,21.51,14.06,42.11,0.814,5.67,18.3,414,36.82,19.34,34.83,2.624
"D","wetland","species1","4",52.56,51.45,5.4,35.84,0.739,5.94,19.15,495.6,26.88,13.73,39.3,5.112
"A","forest","species2","4",66.71,74.16,20.14,51.99,0.619,6.28,23.27,191.8,49.76,19.15,37.21,5.381
"B","forest","species2","4",65.72,43.14,21.88,46.61,0.645,5.49,21.38,139.7,47.4,19.23,30.14,6.007
"C","forest","species2","4",55.33,37.51,14.05,49.58,0.685,5.79,19.2,223.8,43.94,20.03,31.12,3.521
"D","forest","species2","4",60.31,58.46,12.92,51.98,0.596,5.72,20.74,50,36.08,14.42,22.65,5.062
"A","grassland","species2","4",56.16,36.75,9.65,48.01,0.488,6.73,23.51,787.4,38.83,21.75,29.87,2.66
"B","grassland","species2","4",51.43,31.57,4.55,47.01,0.32,5.93,21.14,507,37.59,18.84,36.03,2.3
"C","grassland","species2","4",44.15,51.13,8.23,46.75,0.305,5.63,17.42,634.2,28.06,15.29,35.72,3.457
"D","grassland","species2","4",52.11,59.35,10.52,44.3,0.422,5.48,21.69,776.9,19.56,7.65,29.05,1.915
"A","wetland","species2","4",70.14,53.84,21.89,43.14,0.766,6.9,24.46,433.8,41.06,25.18,37.37,4.673
"B","wetland","species2","4",45.94,59.56,4.36,44.25,0.83,6.11,20.89,452.1,37.43,17.65,29.74,5.101
"C","wetland","species2","4",51.99,60.63,10.72,37.98,0.829,5.91,19.98,368.9,33.27,13.42,36.59,4.216
"D","wetland","species2","4",57.73,45.49,10.61,41.42,0.734,5.86,19.65,376.6,30.79,15.12,30.96,2.618
"A","forest","species3","4",61.58,41.12,12.02,52.89,0.723,6.26,24.31,266.1,40.69,15.88,30.05,3.831
"B","forest","species3","4",52.94,35.62,14.82,50.9,0.543,5.67,19.33,116.8,45.84,25.82,34.34,6.175
"C","forest","species3","4",48.95,53.18,10.72,58.56,0.489,6.18,17.92,268.1,41.35,23.04,34.03,4.215
"D","forest","species3","4",59.95,53.36,13.79,58.4,0.56,6.18,18.81,180.8,34.91,14.81,35.74,5.481
"A","grassland","species3","4",56.26,51.43,14.66,49.14,0.457,6.78,23.39,713,36.8,21.81,32.89,2.344
"B","grassland","species3","4",52.13,41.58,3.48,47.94,0.38,6.3,19.85,472.5,34.28,17.55,28.11,7.088
"C","grassland","species3","4",41.54,35.06,8.18,53.2,0.347,5.99,19.49,605.5,32.29,21.44,37.27,0
"D","grassland","species3","4",40.17,27.25,8.98,50.13,0.406,5.46,21.56,570.7,19.11,13.34,25.8,2.558
"A","wetland","species3","4",54.52,54.97,10.48,44.73,0.809,6.74,22.42,395.5,39.76,18.06,35.35,3.18
"B","wetland","species3","4",35.74,25.33,11.36,45.64,0.817,5.61,23.22,406.7,42.66,20.84,31.93,4.385
"C","wetland","species3","4",44.69,55.67,2.28,40.67,0.704,5.82,18.54,203.1,39.65,26.74,28.59,3.284
"D","wetland","species3","4",44.26,41.28,0.5,45.96,0.806,7.04,18.86,415.9,39.21,18.47,33.73,3.905
"A","forest","species1","5",62.42,59.82,7.89,51.78,0.622,7.02,24.13,350.4,53.97,34.63,34.23,4.749
"B","forest","species1","5",55.04,58.79,14.4,44.04,0.642,7.32,20.52,163.6,51.06,29.84,26.56,1.175
"C","forest","species1","5",55.93,44.27,21.07,42.43,0.615,5.63,19.85,144.8,39.6,20.59,34.43,2.585
"D","forest","species1","5",51.41,23.45,18.96,47.59,0.594,6.22,20.11,323.7,27.64,9.18,35.16,4.124
"A","grassland","species1","5",61.27,42.92,6.54,41.15,0.488,5.69,21.96,632.6,46,22.34,24.28,4.138
"B","grassland","species1","5",45.14,42.04,5.39,41.28,0.49,5.45,20.67,725.4,25.12,14.58,30.36,3.598
"C","grassland","species1","5",44.96,48,14.95,38.27,0.376,5.84,19.61,494.8,39.88,19.92,27.09,3.783
"D","grassland","species1","5",56.4,47.2,12.36,39.03,0.445,6.24,19.66,727.9,27.49,10.87,33.91,2.184
"A","wetland","species1","5",59.85,56.27,15.54,38.52,0.894,6.97,21.39,369.5,40.81,16.48,33.78,7.605
"B","wetland","species1","5",54.51,53.04,15.56,33.77,0.785,6.34,19.6,385.2,46.5,21.24,21.64,3.875
"C","wetland","species1","5",42.65,44.4,14.35,39.02,0.7,6.34,18.15,386,35.24,12.19,34.66,4.266
"D","wetland","species1","5",46.49,44.67,18.12,38.39,0.859,6.04,20.39,513.6,29.63,16.3,33.77,4.772
"A","forest","species2","5",83.77,65.1,20.19,47.14,0.64,7.04,23.93,255.3,54.17,22.19,33.57,8.22
"B","forest","species2","5",61.48,59.43,13.83,50.82,0.603,5.73,21.35,50,48.27,23.27,29.04,1.99
"C","forest","species2","5",62.04,44.59,3.82,47.45,0.511,5.06,19.04,123.1,27.59,14.11,36.29,1.231
"D","forest","species2","5",70.65,60.01,19.96,50.19,0.505,6.9,21.33,238.5,33.31,16.88,30.32,5.774
